title,redirect to,notes,final redirect,LGSL,description
Find out when you can check the accounts at your council,https://www.gov.uk/find-your-local-council,,yes,1584,Transparency of accounts
"Search council minutes, agendas and reports",https://www.gov.uk/find-your-local-council,,yes,354,"Minutes, agendas and reports"
Find out about council repairs of communal areas (for leaseholders),https://www.gov.uk/find-your-local-council,,yes,156,#N/A
Find out about properties which are not fit to live in,https://www.gov.uk/private-renting/your-rights-and-responsibilities,,yes,650,Accommodation certificates
Find out about proxy votes,https://www.gov.uk/voting-in-the-uk/voting-by-proxy,,yes,361,Proxy voting
Find out about council home repairs - 4,gov.uk/council-housing/repairs-and-maintenance,,yes,146,Rechargeable home repairs
Find out about pupil exclusions from school,https://www.gov.uk/school-discipline-exclusions,,yes,34,Exclusion of school pupils
Find out about historical searches on marriages,https://www.gov.uk/order-copy-birth-death-marriage-certificate,,yes,698,Marriage - historical searches
#N/A,,,,390,Food business registration
Find out more about student loans,gov.uk/student-finance,,yes,25,#N/A
#N/A,,,,744,Highway projection licence
#N/A,,,,393,#N/A
Find out about adaptions to council properties for people with mobility problems,gov.uk/disabled-facilities-grants,,yes,130,#N/A
#N/A,,,,54,Business rates annual notification
Find a tourist information centre,https://www.gov.uk/browse/housing-local-services,,yes,623,Tourist information centres
Find out about council car parks,gov.uk/parking-permit,,yes,478,Council car parks
,,,,140,
